"","long","lat","group","order","region","subregion","dems","rep","winner","electoral_votes"
"1",-87.4620056152344,30.3896808624268,1,1,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"2",-87.4849319458008,30.3724918365479,1,2,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"3",-87.525032043457,30.3724918365479,1,3,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"4",-87.53076171875,30.3323860168457,1,4,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"5",-87.5708694458008,30.3266544342041,1,5,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"6",-87.5880584716797,30.3266544342041,1,6,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"7",-87.5937881469727,30.3094673156738,1,7,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"8",-87.5937881469727,30.286548614502,1,8,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"9",-87.6740036010742,30.275089263916,1,9,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"10",-87.8115158081055,30.2579021453857,1,10,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"11",-87.8802642822266,30.2464408874512,1,11,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"12",-87.9203720092773,30.2464408874512,1,12,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"13",-87.9547500610352,30.2464408874512,1,13,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"14",-88.0063171386719,30.2407131195068,1,14,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"15",-88.0177764892578,30.2521705627441,1,15,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"16",-88.0120468139648,30.269359588623,1,16,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"17",-87.9948577880859,30.275089263916,1,17,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"18",-87.9547500610352,30.275089263916,1,18,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"19",-87.9031829833984,30.2808208465576,1,19,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"20",-87.8286972045898,30.286548614502,1,20,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"21",-87.8000564575195,30.286548614502,1,21,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"22",-87.8000564575195,30.3266544342041,1,22,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"23",-87.8172378540039,30.3438453674316,1,23,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"24",-87.8401565551758,30.3839530944824,1,24,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"25",-87.8516235351562,30.4011421203613,1,25,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"26",-87.8745346069336,30.4125995635986,1,26,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"27",-87.9031829833984,30.4240608215332,1,27,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"28",-87.9261016845703,30.4469795227051,1,28,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"29",-87.9318313598633,30.4928131103516,1,29,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"30",-87.9432907104492,30.527193069458,1,30,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"31",-87.9203720092773,30.5615692138672,1,31,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"32",-87.9146423339844,30.5844879150391,1,32,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"33",-87.9261016845703,30.6188640594482,1,33,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"34",-87.9203720092773,30.670431137085,1,34,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"35",-87.9490203857422,30.6990776062012,1,35,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"36",-87.989128112793,30.7907524108887,1,36,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"37",-88.0063171386719,30.7964820861816,1,37,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"38",-88.0177764892578,30.802209854126,1,38,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"39",-88.0349655151367,30.7907524108887,1,39,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"40",-88.0464248657227,30.7563762664795,1,40,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"41",-88.0521545410156,30.727725982666,1,41,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"42",-88.0521545410156,30.7105388641357,1,42,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"43",-88.063606262207,30.6876201629639,1,43,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"44",-88.0693435668945,30.6818885803223,1,44,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"45",-88.0808029174805,30.6303253173828,1,45,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"46",-88.0808029174805,30.6131362915039,1,46,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"47",-88.0979919433594,30.6074066162109,1,47,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"48",-88.1094436645508,30.5959453582764,1,48,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"49",-88.1151809692383,30.5844879150391,1,49,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"50",-88.1094436645508,30.5558376312256,1,50,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"51",-88.1209106445312,30.4813556671143,1,51,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"52",-88.1209106445312,30.4412479400635,1,52,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"53",-88.1266403198242,30.3896808624268,1,53,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"54",-88.1323699951172,30.3610343933105,1,54,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"55",-88.1438293457031,30.3438453674316,1,55,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"56",-88.161018371582,30.3381156921387,1,56,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"57",-88.172477722168,30.3381156921387,1,57,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"58",-88.1896591186523,30.3553047180176,1,58,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"59",-88.2240447998047,30.3782234191895,1,59,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"60",-88.2354965209961,30.3954105377197,1,60,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"61",-88.2870635986328,30.4011421203613,1,61,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"62",-88.3157119750977,30.4011421203613,1,62,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"63",-88.3329010009766,30.4011421203613,1,63,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"64",-88.35009765625,30.4240608215332,1,64,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"65",-88.3902053833008,30.4125995635986,1,65,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"66",-88.4073867797852,30.7334575653076,1,66,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"67",-88.4188461303711,30.9970169067383,1,67,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"68",-88.430305480957,31.123067855835,1,68,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"69",-88.4532241821289,31.432466506958,1,69,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"70",-88.4646835327148,31.6960258483887,1,70,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"71",-88.4761428833008,31.8908290863037,1,71,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"72",-88.430305480957,32.22314453125,1,72,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"73",-88.430305480957,32.3090896606445,1,73,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"74",-88.3902053833008,32.5783805847168,1,74,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
"75",-88.35009765625,32.9221534729004,1,75,"Alabama",NA,38.60518,56.74497,"Donald Trump",9
