"","cycle","modeldate","state","candidate_name","pct_trend_adjusted","party"
"1",1968,1968-10-14,"National","George Wallace",18.54113,"Independent"
"2",1968,1968-10-14,"National","Hubert Humphrey, Jr.",29.86758,"Democratic"
"3",1968,1968-10-14,"National","Richard M. Nixon",48.27432,"Republican"
"4",1972,1972-10-14,"National","Richard M. Nixon",58.93472,"Republican"
"5",1972,1972-10-14,"National","George S. McGovern",30.57072,"Democratic"
"6",1976,1976-10-14,"National","Gerald R. Ford",39.108777,"Republican"
"7",1976,1976-10-14,"National","Jimmy Carter",41.479787,"Democratic"
"8",1980,1980-10-14,"National","John B. Anderson",11.68006,"Independent"
"9",1980,1980-10-14,"National","Jimmy Carter",36.933871,"Democratic"
"10",1980,1980-10-14,"National","Ronald Reagan",42.031849,"Republican"
"11",1984,1984-10-14,"National","Ronald Reagan",56.280822,"Republican"
"12",1984,1984-10-14,"National","Walter F. Mondale",40.0488,"Democratic"
"13",1988,1988-10-14,"National","Michael S. Dukakis",42.70321,"Democratic"
"14",1988,1988-10-14,"National","George Bush",49.992465,"Republican"
"15",1992,1992-10-14,"National","H. Ross Perot",10.901922,"Independent"
"16",1992,1992-10-14,"National","Bill Clinton",46.098855,"Democratic"
"17",1992,1992-10-14,"National","George Bush",35.533681,"Republican"
"18",1996,1996-10-14,"National","H. Ross Perot",5.7049908,"Independent"
"19",1996,1996-10-14,"National","Bill Clinton",50.180877,"Democratic"
"20",1996,1996-10-14,"National","Bob Dole",35.819173,"Republican"
"21",2000,2000-10-14,"National","Ralph Nader",4.0791188,"Independent"
"22",2000,2000-10-14,"National","George W. Bush",45.633975,"Republican"
"23",2000,2000-10-14,"National","Al Gore",42.215145,"Democratic"
"24",2004,2004-10-14,"National","George W. Bush",48.078425,"Republican"
"25",2004,2004-10-14,"National","John Kerry",45.907735,"Democratic"
"26",2008,2008-10-14,"National","John McCain",42.059682,"Republican"
"27",2008,2008-10-14,"National","Barack Obama",49.773132,"Democratic"
"28",2012,2012-10-14,"National","Barack Obama",47.052509,"Democratic"
"29",2012,2012-10-14,"National","Mitt Romney",48.17884,"Republican"
"30",2016,2016-10-14,"National","Gary Johnson",6.54543,"Independent"
"31",2016,2016-10-14,"National","Donald Trump",39.19594,"Republican"
"32",2016,2016-10-14,"National","Hillary Rodham Clinton",45.73063,"Democratic"
"33",2020,2020-10-14,"National","Joseph R. Biden Jr.",52.41947,"Democratic"
"34",2020,2020-10-14,"National","Donald Trump",41.84998,"Republican"
